modell,arm,ziel,n,laenge,abs_fehler,rel_fehler,rec_jsd,rec_cov,E_erg,cov_solver,nutzen_pro_weg
laenge,kraft,4.0,25,4.032939147949219,0.008237857818603516,0.008234786987304687,0.17392136675756487,0.04482973873615265,4.008838651180267,0.048488890007138255,0.0053740063764676485
laenge,kraft,6.0,25,6.040037307739258,0.010079981486002594,0.006672884623209634,0.17306884317221616,0.036601982936263086,3.6673327612876894,0.04237507939338684,-0.008370102118586683
laenge,kraft,8.0,25,7.909265003204346,0.02465766668319702,-0.011341874599456786,0.18525070601584964,0.033301447853446006,3.701452441215515,0.04069982223212719,-0.00790567195195745
laenge,kraft,11.0,25,9.994454193115235,0.09260708202015272,-0.09141325517134234,0.20281698548896177,0.03259953297674656,3.9392629766464236,0.0415009868144989,-0.009231635755810003
laenge,kraft,14.0,25,11.088228492736816,0.20798367909022736,-0.20798367909022736,0.2108946088964395,0.032483099102973936,4.100747208595276,0.04202630572021007,-0.009326954740615621
laenge,kraft,18.0,25,11.553508071899413,0.3581384404500325,-0.3581384404500325,0.21297712511720193,0.0323384452611208,4.182184915542603,0.042153453826904295,-0.009352023588712028
laenge_mitloss,frei,4.0,25,0.3656726288795471,nan,nan,0.9251509687114516,0.46920874118804934,278.7756903076172,0.4692712664604187,nan
laenge_mitloss,kond,4.0,25,0.3377604401111603,0.9155598899722099,-0.9155598899722099,0.9209850731659163,0.47134100914001464,273.584853515625,0.47149075388908385,-0.16656725023861224
laenge_mitloss,kond,6.0,25,0.33840882539749145,0.9435985291004181,-0.9435985291004181,0.9212437773717501,0.4717223882675171,273.8448248291016,0.47186758637428283,-0.15969895568377518
laenge_mitloss,kond,8.0,25,0.3391567599773407,0.9576054050028324,-0.9576054050028324,0.9213535103059044,0.47180737495422365,273.92871459960935,0.47194803595542906,-0.1591422055215075
laenge_mitloss,kond,11.0,25,0.3395037257671356,0.9691360249302605,-0.9691360249302605,0.9212303678841407,0.47143239855766295,273.8203448486328,0.47157190918922426,-0.1665771790909681
laenge_mitloss,kond,14.0,25,0.33929367899894713,0.975764737214361,-0.975764737214361,0.9210930974634651,0.47114486336708067,273.74903259277346,0.4712862610816956,-0.1717594070128371
laenge_mitloss,kond,18.0,25,0.33897764325141905,0.9811679087082545,-0.9811679087082545,0.9210652863359786,0.471107017993927,273.765166015625,0.4712496018409729,-0.17134788148466262
laenge_mitloss,kond+kraft,4.0,25,3.9999730014801025,6.749629974365234e-06,-6.749629974365234e-06,0.8931895171226103,0.28525433003902434,253.71106994628906,0.28807534515857697,0.00879486637106182
laenge_mitloss,kond+kraft,6.0,25,5.988566207885742,0.0019056320190429777,-0.0019056320190429777,0.8758096338591751,0.22984374046325684,240.117646484375,0.2357438623905182,0.008775489870721713
laenge_mitloss,kond+kraft,8.0,25,7.750152473449707,0.03123094081878662,-0.03123094081878662,0.862805525068656,0.24659209430217743,229.21114562988282,0.27258435904979705,0.008442999751116051
laenge_mitloss,kond+kraft,11.0,25,9.20486831665039,0.16319378939541906,-0.16319378939541906,0.8485015198588699,0.258586939573288,219.63497375488282,0.2859581935405731,0.008672996849444366
laenge_mitloss,kond+kraft,14.0,25,9.27597297668457,0.3374305016653878,-0.3374305016653878,0.8385625959733097,0.26497896790504455,217.86607849121094,0.29090339183807373,0.009715338015887627
laenge_mitloss,kond+kraft,18.0,25,8.499998664855957,0.5277778519524468,-0.5277778519524468,0.8406460538729806,0.2661291497945786,221.65327026367189,0.2911441457271576,0.010386626148715874
laenge_mitloss,kraft,4.0,25,3.9999709224700926,7.26938247680664e-06,-7.26938247680664e-06,0.9003066450587166,0.3001591634750366,257.91473205566405,0.3039039373397827,0.006837459791245683
laenge_mitloss,kraft,6.0,25,5.984560031890869,0.0025733280181884765,-0.0025733280181884765,0.8811630636228827,0.23915791273117065,243.67086853027342,0.2488831603527069,0.007828993860549645
laenge_mitloss,kraft,8.0,25,7.671506996154785,0.041061625480651856,-0.041061625480651856,0.8583819670302445,0.22383533656597138,230.37333923339844,0.24012279868125916,0.0091410740312991
laenge_mitloss,kraft,11.0,25,8.93338005065918,0.18787454084916547,-0.18787454084916547,0.8326283955682493,0.23441030621528625,220.80489196777344,0.2546770054101944,0.010799927497897242
