modell,shape,arm,ziel,rec_jsd,rec_cov,laenge,E_erg,cov_solver,rel_fehler,abs_fehler,nutzen_pro_weg
laenge,a_lc,kond+kraft,4.0,0.12493558663983426,0.026231681928038597,4.000038146972656,5.147745609283447,0.030012231320142746,9.5367431640625e-06,9.5367431640625e-06,-0.01570948219772215
laenge,a_lc,kond,6.0,0.13214246288599957,0.027225282043218613,4.472088813781738,5.759476184844971,0.03137758746743202,-0.2546518643697103,0.2546518643697103,-0.042331289227351396
laenge,a_lc,kraft,6.0,0.16216192247991187,0.02336168847978115,5.981997489929199,5.486103534698486,0.028995759785175323,-0.0030004183451334265,0.0030004183451334265,-0.019764418671733525
laenge,a_lc,kond+kraft,6.0,0.16318962976157397,0.023655109107494354,5.98178243637085,5.513746738433838,0.029308538883924484,-0.0030362606048583984,0.0030362606048583984,-0.020451542735061126
laenge,a_lc,kond,8.0,0.13239159288879151,0.02719767577946186,4.478761672973633,5.767415523529053,0.03135587275028229,-0.4401547908782959,0.4401547908782959,-0.07082378223159645
laenge,a_lc,kraft,8.0,0.21153284719626442,0.027843542397022247,7.795540809631348,5.946314334869385,0.034192852675914764,-0.025557398796081543,0.025557398796081543,-0.02384430123782729
laenge,a_lc,kond+kraft,8.0,0.21056532934631578,0.027660422027111053,7.799382209777832,5.937646389007568,0.034022651612758636,-0.025077223777770996,0.025077223777770996,-0.023525238371546034
laenge,a_lc,kond,11.0,0.1325658568108727,0.02718065306544304,4.481596946716309,5.776866912841797,0.03133893758058548,-0.5925820957530629,0.5925820957530629,-0.05488441326577571
laenge,a_lc,kraft,11.0,0.24863291630935597,0.028311148285865784,9.697571754455566,6.345945358276367,0.036098890006542206,-0.11840256777676672,0.11840256777676672,-0.022262641747980774
laenge,a_lc,kond+kraft,11.0,0.2475837651630708,0.02807725965976715,9.70476245880127,6.338665962219238,0.03606132045388222,-0.11774886738170276,0.11774886738170276,-0.022031201667474014
laenge,a_lc,kond,14.0,0.13259776510030252,0.027171969413757324,4.48150634765625,5.778543949127197,0.031331975013017654,-0.6798924037388393,0.6798924037388393,-0.07830796611701846
