shape,koerper,sdf_max_basis,sdf_max_align,cos_tn_basis,cos_tn_align,coverage_xy_basis,coverage_xy_align,laenge_basis,laenge_align
rand_gmm_20,Pyramid,0.015329312533140182,0.015956366434693336,0.061386629939079285,0.04166105389595032,0.04932895302772522,0.0483630895614624,9.522150039672852,9.591510772705078
rand_gmm_20,Torus,0.0029046833515167236,0.008465215563774109,0.02240939438343048,0.016236629337072372,0.047430504113435745,0.047269050031900406,9.094015121459961,9.134069442749023
rand_ana_poly_10,Sphere,0.0007407665252685547,0.0020579397678375244,0.015216588042676449,0.006681255530565977,0.03159255534410477,0.03130992501974106,3.941765785217285,3.992603063583374
rand_ana_poly_10,Pyramid,0.0030665015801787376,0.0031812868546694517,0.0374978706240654,0.010110382921993732,0.03697465360164642,0.03708014637231827,4.156084060668945,4.291369438171387
rand_ana_poly_10,Torus,0.0008279979228973389,0.0023133158683776855,0.017930608242750168,0.008424369618296623,0.027888629585504532,0.027715936303138733,3.7037081718444824,3.7566866874694824
rand_ana_poly_20,Sphere,0.0013217329978942871,0.0030711889266967773,0.01016758382320404,0.005860120989382267,0.029210485517978668,0.029139947146177292,3.8712170124053955,3.9290170669555664
rand_ana_poly_20,Pyramid,0.002459828043356538,0.0031575169414281845,0.026366032660007477,0.009382413700222969,0.030626894906163216,0.03030756302177906,4.625528335571289,4.785895347595215
rand_ana_poly_20,Torus,0.0004880279302597046,0.003685876727104187,0.011805306188762188,0.006387555040419102,0.035362742841243744,0.03521294519305229,3.645946502685547,3.6972970962524414
rand_ana_poly_30,Sphere,0.0012673139572143555,0.007636219263076782,0.015240633860230446,0.009677104651927948,0.038343992084264755,0.038302257657051086,5.307592391967773,5.319546699523926
rand_ana_poly_30,Pyramid,0.003678823122754693,0.0028768102638423443,0.02328183501958847,0.008756550028920174,0.03888219967484474,0.03920038789510727,5.577070713043213,5.61073637008667
rand_ana_poly_30,Torus,0.0008118748664855957,0.009764552116394043,0.015265252441167831,0.007638167589902878,0.04163891077041626,0.04199937731027603,4.712956428527832,4.755414962768555
rand_gmm_complex_0,Sphere,0.002628713846206665,0.00834605097770691,0.01968935690820217,0.014542322605848312,0.04909103363752365,0.049082349985837936,9.525798797607422,9.535710334777832
rand_gmm_complex_0,Pyramid,0.007983135990798473,0.007136598229408264,0.04885881394147873,0.03841317445039749,0.05340351164340973,0.053784891963005066,10.127008438110352,10.15250301361084
rand_gmm_complex_0,Torus,0.0032176971435546875,0.008261829614639282,0.02349196933209896,0.015921887010335922,0.05004795640707016,0.049884092062711716,9.189760208129883,9.201666831970215
rand_gmm_complex_10,Sphere,0.0025367140769958496,0.009164810180664062,0.0219165850430727,0.015499944798648357,0.05461057648062706,0.054670047014951706,9.491207122802734,9.49588394165039
rand_gmm_complex_10,Pyramid,0.006015624385327101,0.0081423195078969,0.05779311805963516,0.03696393594145775,0.06166837736964226,0.06245619058609009,9.619413375854492,9.636807441711426
rand_gmm_complex_10,Torus,0.0018149614334106445,0.008899584412574768,0.02081732451915741,0.014073897153139114,0.04693668335676193,0.046994440257549286,9.121343612670898,9.127336502075195
rand_gmm_complex_20,Sphere,0.0014661848545074463,0.005127966403961182,0.021075960248708725,0.015255013480782509,0.049969952553510666,0.049940649420022964,9.281465530395508,9.293827056884766
rand_gmm_complex_20,Pyramid,0.008277145214378834,0.007909005507826805,0.05717798322439194,0.03274986892938614,0.06106843799352646,0.061048295348882675,9.073017120361328,9.153045654296875
rand_gmm_complex_20,Torus,0.0027844607830047607,0.0057541728019714355,0.025565654039382935,0.01698249951004982,0.04550151526927948,0.04593916982412338,8.71816635131836,8.740235328674316
rand_gmm_complex_30,Sphere,0.002382934093475342,0.00418013334274292,0.01840871013700962,0.013956312090158463,0.051262326538562775,0.0511946827173233,9.265938758850098,9.268693923950195
rand_gmm_complex_30,Pyramid,0.005883659701794386,0.017670243978500366,0.06106638163328171,0.04270806908607483,0.056395307183265686,0.05553245544433594,9.620265007019043,9.748994827270508
rand_gmm_complex_30,Torus,0.0018708407878875732,0.002710506319999695,0.021313432604074478,0.013911303132772446,0.04387883096933365,0.043937236070632935,9.755586624145508,9.767552375793457
rand_ana_poly_complex_0,Sphere,0.0018177628517150879,0.003926575183868408,0.018558792769908905,0.010995708405971527,0.030277475714683533,0.030282320454716682,4.811561584472656,4.809530735015869
rand_ana_poly_complex_0,Pyramid,0.0045122927986085415,0.005658569745719433,0.056311026215553284,0.028975997120141983,0.03590238094329834,0.036168597638607025,5.845016956329346,6.015536308288574
rand_ana_poly_complex_0,Torus,0.0008369088172912598,0.010503053665161133,0.018098164349794388,0.011879971250891685,0.035282231867313385,0.03491705656051636,5.227241516113281,5.290815353393555
rand_ana_poly_complex_10,Sphere,0.0021256208419799805,0.00834953784942627,0.01921539381146431,0.012806361541152,0.03549164533615112,0.03525985777378082,6.357254981994629,6.380152702331543
rand_ana_poly_complex_10,Pyramid,0.012255624867975712,0.008560311049222946,0.0667380690574646,0.024537179619073868,0.03953881561756134,0.039591528475284576,7.204845905303955,7.360358715057373
rand_ana_poly_complex_10,Torus,0.0020131319761276245,0.020233437418937683,0.025294644758105278,0.015906788408756256,0.03354432061314583,0.033187367022037506,6.026154518127441,6.128136157989502
rand_ana_poly_complex_20,Sphere,0.0020162463188171387,0.0032869577407836914,0.01564686745405197,0.009101837873458862,0.028161603957414627,0.02802848629653454,4.575712203979492,4.584686279296875
rand_ana_poly_complex_20,Pyramid,0.0022122832015156746,0.0039811204187572,0.017388835549354553,0.007045700214803219,0.026392923668026924,0.02662147767841816,5.666338920593262,5.687700271606445
rand_ana_poly_complex_20,Torus,0.0015677213668823242,0.0027097612619400024,0.01416712999343872,0.008204538375139236,0.03912956267595291,0.038849469274282455,4.225005626678467,4.2577948570251465
rand_ana_poly_complex_30,Sphere,0.0018221139907836914,0.004124194383621216,0.017976148054003716,0.010146884247660637,0.028951095417141914,0.028813637793064117,5.56959342956543,5.593494892120361
rand_ana_poly_complex_30,Pyramid,0.00529066938906908,0.008174712769687176,0.04546240717172623,0.021505791693925858,0.03456486761569977,0.0335475355386734,6.105003356933594,6.218921184539795
rand_ana_poly_complex_30,Torus,0.0031001418828964233,0.011590063571929932,0.03215961903333664,0.01623649150133133,0.040593065321445465,0.04053930565714836,5.250829219818115,5.338579177856445
organic_0,Sphere,0.0019800961017608643,0.00897875428199768,0.0222475528717041,0.01404663361608982,0.046086400747299194,0.046327412128448486,7.321432113647461,7.353672027587891
organic_0,Pyramid,0.008563182316720486,0.012511913664638996,0.06033651530742645,0.035558801144361496,0.05397376790642738,0.05460188165307045,7.139864444732666,7.255335807800293
organic_0,Torus,0.0019028931856155396,0.012296557426452637,0.0262663085013628,0.015402785502374172,0.03827277570962906,0.03916415199637413,6.925457000732422,6.976540565490723
organic_10,Sphere,0.0015373528003692627,0.009224236011505127,0.02304910495877266,0.011850031092762947,0.040316998958587646,0.04044907167553902,6.732682228088379,6.779287338256836
organic_10,Pyramid,0.005280402489006519,0.01653701812028885,0.052959002554416656,0.02850237861275673,0.05028063803911209,0.04732539504766464,7.621695041656494,7.8426594734191895
organic_10,Torus,0.001968473196029663,0.015467435121536255,0.03414157032966614,0.01836615428328514,0.03673161193728447,0.03588806092739105,5.990020751953125,6.115601062774658
organic_20,Sphere,0.0018214881420135498,0.002386152744293213,0.02005249261856079,0.009833097457885742,0.03061191737651825,0.030537191778421402,4.935779094696045,4.928290367126465
organic_20,Pyramid,0.006475647445768118,0.007323041092604399,0.06153951957821846,0.025612127035856247,0.038836948573589325,0.04020671546459198,5.504632949829102,5.702322483062744
organic_20,Torus,0.0008246302604675293,0.002405315637588501,0.01466603484004736,0.008022220805287361,0.03429996967315674,0.034238092601299286,4.986114501953125,4.994071960449219
organic_30,Sphere,0.0015406310558319092,0.005629867315292358,0.011435355991125107,0.0075916266068816185,0.023151248693466187,0.023004401475191116,3.527475357055664,3.5285840034484863
organic_30,Pyramid,0.004193351604044437,0.008287809789180756,0.026785828173160553,0.015389121137559414,0.025108935311436653,0.025152537971735,4.836167335510254,4.925404071807861
organic_30,Torus,0.0005180984735488892,0.0049783289432525635,0.013545232824981213,0.006587540730834007,0.0415455587208271,0.04152645915746689,4.237951755523682,4.262808322906494
cjk_0,Sphere,0.0017058849334716797,0.00290641188621521,0.020569531247019768,0.013950763270258904,0.04632306098937988,0.046276748180389404,7.120654582977295,7.135471343994141
cjk_0,Pyramid,0.0065563456155359745,0.008503072895109653,0.05338294431567192,0.02161325141787529,0.04961100220680237,0.04996216669678688,7.614499092102051,7.721859931945801
cjk_0,Torus,0.0018662214279174805,0.002779543399810791,0.023426197469234467,0.014210784807801247,0.04524057358503342,0.0452788844704628,6.924932956695557,6.952357769012451
cjk_10,Sphere,0.0028314590454101562,0.004381358623504639,0.030547913163900375,0.01847512647509575,0.03910194709897041,0.03888815641403198,6.6469268798828125,6.673198699951172
cjk_10,Pyramid,0.011870447546243668,0.012831756845116615,0.05821610987186432,0.0317440927028656,0.04726331681013107,0.04716963320970535,6.537418365478516,6.693284034729004
cjk_10,Torus,0.0018875151872634888,0.010205656290054321,0.030015815049409866,0.01526963897049427,0.032120153307914734,0.032238442450761795,6.364835739135742,6.455842018127441
cjk_20,Sphere,0.0026921629905700684,0.002955138683319092,0.01823393814265728,0.00957326777279377,0.04345127195119858,0.04343138635158539,6.574448585510254,6.584659576416016
cjk_20,Pyramid,0.001766109955497086,0.016508108004927635,0.036282528191804886,0.034456584602594376,0.040719982236623764,0.041014354676008224,7.6391801834106445,7.805600166320801
cjk_20,Torus,0.0032336413860321045,0.0050920844078063965,0.024826185777783394,0.013840146362781525,0.04841809347271919,0.04858141392469406,6.114927291870117,6.142197608947754
