shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
rand_gmm_complex_0,18.0,1.128,10.631,13.464,10.518,-0.252,-0.4157,1.8467,2.4957,1.8458,0.06248,0.06176,0.06253
rand_gmm_complex_10,4.0,-2.176,10.201,4.03,10.384,0.0076,1.5959,2.0349,4.171,2.0106,0.05255,0.0689,0.05185
rand_gmm_complex_10,6.0,-1.343,10.201,6.105,10.254,0.0175,0.7089,2.0349,2.5003,2.1029,0.05255,0.05686,0.05236
rand_gmm_complex_10,8.0,-0.721,10.201,8.144,10.331,0.018,0.2913,2.0349,2.1616,2.1295,0.05255,0.05345,0.05167
rand_gmm_complex_10,11.0,-0.009,10.201,10.753,10.223,-0.0224,-0.0706,2.0349,2.1326,2.0005,0.05255,0.05297,0.05241
rand_gmm_complex_10,14.0,0.543,10.201,12.443,10.287,-0.1112,-0.2652,2.0349,2.1459,2.1389,0.05255,0.05298,0.05271
rand_gmm_complex_10,18.0,1.128,10.201,13.549,10.128,-0.2473,-0.4373,2.0349,2.2035,1.9112,0.05255,0.0542,0.05193
rand_gmm_complex_20,4.0,-2.176,9.487,4.081,9.677,0.0203,1.4193,3.8114,4.551,3.6558,0.05652,0.06649,0.0541
rand_gmm_complex_20,6.0,-1.343,9.487,6.173,9.642,0.0288,0.607,3.8114,3.8911,4.028,0.05652,0.05728,0.05791
rand_gmm_complex_20,8.0,-0.721,9.487,8.126,9.743,0.0157,0.2179,3.8114,3.8233,4.3248,0.05652,0.05632,0.0586
rand_gmm_complex_20,11.0,-0.009,9.487,10.552,9.462,-0.0407,-0.1398,3.8114,3.7484,3.7127,0.05652,0.05724,0.05583
rand_gmm_complex_20,14.0,0.543,9.487,12.009,9.703,-0.1422,-0.307,3.8114,3.4222,4.3265,0.05652,0.0569,0.05806
rand_gmm_complex_20,18.0,1.128,9.487,12.883,10.372,-0.2843,-0.4238,3.8114,3.2315,3.207,0.05652,0.05699,0.05353
rand_gmm_complex_30,4.0,-2.176,9.688,4.078,9.07,0.0194,1.2674,1.6305,2.1707,1.4237,0.0511,0.06935,0.05409
rand_gmm_complex_30,6.0,-1.343,9.688,6.179,9.979,0.0298,0.6631,1.6305,1.237,1.697,0.0511,0.05353,0.05146
rand_gmm_complex_30,8.0,-0.721,9.688,8.155,10.044,0.0194,0.2555,1.6305,1.3227,1.7515,0.0511,0.05009,0.0518
rand_gmm_complex_30,11.0,-0.009,9.688,10.625,9.616,-0.0341,-0.1258,1.6305,1.7624,1.5956,0.0511,0.05229,0.05013
rand_gmm_complex_30,14.0,0.543,9.688,12.111,9.964,-0.1349,-0.2883,1.6305,1.9091,1.6978,0.0511,0.05439,0.05183
rand_gmm_complex_30,18.0,1.128,9.688,13.006,9.641,-0.2774,-0.4644,1.6305,1.9982,1.646,0.0511,0.05535,0.05132
rand_ana_poly_complex_0,4.0,-2.176,4.632,4.0,4.651,0.0,0.1626,1.2021,1.5564,1.2048,0.03421,0.03486,0.03391
rand_ana_poly_complex_0,6.0,-1.343,4.632,5.969,4.595,-0.0051,-0.2342,1.2021,1.0339,1.2586,0.03421,0.03251,0.0339
rand_ana_poly_complex_0,8.0,-0.721,4.632,7.7,4.652,-0.0375,-0.4185,1.2021,1.0171,1.1996,0.03421,0.03137,0.03368
rand_ana_poly_complex_0,11.0,-0.009,4.632,9.342,4.691,-0.1507,-0.5735,1.2021,1.3903,1.1505,0.03421,0.03133,0.03402
rand_ana_poly_complex_0,14.0,0.543,4.632,9.957,4.607,-0.2888,-0.6709,1.2021,1.6094,1.2615,0.03421,0.03152,0.03384
rand_ana_poly_complex_0,18.0,1.128,4.632,9.947,4.521,-0.4474,-0.7488,1.2021,1.6149,1.3037,0.03421,0.03154,0.03493
rand_ana_poly_complex_10,4.0,-2.176,5.978,4.002,6.229,0.0006,0.5573,1.1939,1.3655,1.5374,0.04215,0.04787,0.0427
rand_ana_poly_complex_10,6.0,-1.343,5.978,5.982,6.017,-0.0029,0.0028,1.1939,1.1264,1.2471,0.04215,0.04007,0.04301
rand_ana_poly_complex_10,8.0,-0.721,5.978,7.727,6.031,-0.0342,-0.2461,1.1939,1.424,1.2868,0.04215,0.04196,0.04163
rand_ana_poly_complex_10,11.0,-0.009,5.978,9.459,5.996,-0.1401,-0.4549,1.1939,1.8814,1.1767,0.04215,0.04159,0.04204
rand_ana_poly_complex_10,14.0,0.543,5.978,10.222,6.008,-0.2698,-0.5709,1.1939,2.0451,1.2724,0.04215,0.04161,0.04214
rand_ana_poly_complex_10,18.0,1.128,5.978,10.414,5.941,-0.4214,-0.67,1.1939,2.0889,1.2864,0.04215,0.04174,0.04393
rand_ana_poly_complex_20,4.0,-2.176,4.056,4.0,4.058,-0.0,0.0144,1.3162,1.3131,1.251,0.02977,0.02971,0.02855
rand_ana_poly_complex_20,6.0,-1.343,4.056,5.965,4.123,-0.0059,-0.3128,1.3162,1.1529,1.0783,0.02977,0.02601,0.02854
rand_ana_poly_complex_20,8.0,-0.721,4.056,7.641,4.171,-0.0448,-0.4786,1.3162,1.4116,0.9859,0.02977,0.02832,0.02873
rand_ana_poly_complex_20,11.0,-0.009,4.056,9.125,4.021,-0.1705,-0.6344,1.3162,1.7503,1.4942,0.02977,0.02969,0.02971
rand_ana_poly_complex_20,14.0,0.543,4.056,9.59,4.242,-0.315,-0.697,1.3162,1.8698,1.0087,0.02977,0.03023,0.02849
rand_ana_poly_complex_20,18.0,1.128,4.056,9.447,4.075,-0.4752,-0.7736,1.3162,1.8188,1.3239,0.02977,0.0301,0.02951
rand_ana_poly_complex_30,4.0,-2.176,5.299,4.001,5.312,0.0001,0.3281,3.2298,2.6724,3.8146,0.03179,0.03485,0.03225
rand_ana_poly_complex_30,6.0,-1.343,5.299,5.993,5.339,-0.0012,-0.1102,3.2298,3.1729,3.2957,0.03179,0.02925,0.03177
rand_ana_poly_complex_30,8.0,-0.721,5.299,7.867,5.367,-0.0166,-0.3292,3.2298,3.5328,3.9924,0.03179,0.02891,0.03265
rand_ana_poly_complex_30,11.0,-0.009,5.299,9.964,5.307,-0.0942,-0.5175,3.2298,3.8047,3.0487,0.03179,0.03243,0.03164
rand_ana_poly_complex_30,14.0,0.543,5.299,11.019,5.365,-0.213,-0.6168,3.2298,3.9657,3.6671,0.03179,0.03462,0.03226
rand_ana_poly_complex_30,18.0,1.128,5.299,11.382,5.257,-0.3677,-0.7079,3.2298,4.0178,2.8343,0.03179,0.03577,0.03116
organic_0,4.0,-2.176,6.86,4.007,7.665,0.0017,0.9163,1.34,1.2978,1.7414,0.04238,0.04995,0.03944
organic_0,6.0,-1.343,6.86,5.995,6.864,-0.0009,0.144,1.34,1.2106,1.432,0.04238,0.04219,0.04242
organic_0,8.0,-0.721,6.86,7.802,6.831,-0.0248,-0.1461,1.34,1.3712,1.6385,0.04238,0.04102,0.04202
organic_0,11.0,-0.009,6.86,9.755,6.994,-0.1132,-0.3642,1.34,1.5065,1.1503,0.04238,0.0405,0.04158
organic_0,14.0,0.543,6.86,10.727,6.863,-0.2338,-0.5098,1.34,1.5664,1.5241,0.04238,0.04109,0.0427
organic_0,18.0,1.128,6.86,11.11,7.075,-0.3828,-0.6069,1.34,1.5927,1.1653,0.04238,0.04166,0.04021
organic_10,4.0,-2.176,5.925,4.002,5.898,0.0005,0.4745,4.1534,4.1372,5.5981,0.04224,0.04584,0.04261
organic_10,6.0,-1.343,5.925,5.991,5.928,-0.0015,-0.012,4.1534,4.081,4.2244,0.04224,0.04147,0.0422
organic_10,8.0,-0.721,5.925,7.807,5.992,-0.0242,-0.251,4.1534,4.0613,4.8796,0.04224,0.04108,0.04294
organic_10,11.0,-0.009,5.925,9.708,5.939,-0.1174,-0.4601,4.1534,4.0634,4.0401,0.04224,0.04276,0.04222
organic_10,14.0,0.543,5.925,10.601,5.896,-0.2428,-0.5789,4.1534,4.0817,4.5689,0.04224,0.04353,0.0434
