shape,surface,erg,coverage,standoff,standoff_sd,pointing_deg,path_len,hit_frac
a_lc,kegel,0.02692732500223529,0.10741917043924332,0.09660960733890533,0.02643067017197609,23.664243698120117,2.867821455001831,0.33345
a_lc,torus,0.04146191727762179,0.09889904409646988,0.08498837798833847,0.023457860574126244,31.07052230834961,2.156674385070801,0.18765
rand_gmm_10,ebene_flach,0.05914977864957368,0.13133655488491058,0.12923181056976318,0.013185583986341953,18.448139190673828,2.433131217956543,0.9996
rand_gmm_10,ebene_gekippt,0.0536124600159332,0.13134004175662994,0.1348835676908493,0.01997383125126362,20.365482330322266,2.941178321838379,0.9996
rand_gmm_10,ebene_diagonal,0.049048012409790634,0.12781386077404022,0.130355566740036,0.015664465725421906,18.564353942871094,2.7890853881835938,0.9996
rand_gmm_10,kugel,0.04260915483754184,0.13075684010982513,0.12623122334480286,0.024510841816663742,26.53582000732422,3.730043411254883,0.49425
rand_gmm_10,wuerfel,0.0308352069425597,0.1684054285287857,0.16338232159614563,0.0338885560631752,34.9678955078125,5.354255676269531,0.49445
rand_gmm_10,ei,0.030159513200013442,0.11357621848583221,0.11100742220878601,0.018100399523973465,27.191932678222656,3.0140621662139893,0.57625
rand_gmm_10,bunny,0.037473889032357766,0.12175895273685455,0.13590580224990845,0.03592275455594063,28.175691604614258,3.221811532974243,0.4783
rand_gmm_10,prisma,0.03247536570818339,0.1291944682598114,0.12437421083450317,0.04240037873387337,33.494384765625,4.2061381340026855,0.6278
rand_gmm_10,kegel,0.028845955762341984,0.13325707614421844,0.12491197884082794,0.027982469648122787,33.06719970703125,3.9482951164245605,0.6731
rand_gmm_10,torus,0.07695915280954344,0.14444668591022491,0.12792155146598816,0.019471216946840286,24.251296997070312,3.418818473815918,0.50675
rand_gmm_20,ebene_flach,0.06626816798049191,0.13178257644176483,0.1295732855796814,0.011728662066161633,17.74404525756836,2.071732521057129,0.99935
rand_gmm_20,ebene_gekippt,0.061522984318428627,0.13306593894958496,0.12900188565254211,0.013867361471056938,17.028858184814453,2.2884626388549805,0.99935
rand_gmm_20,ebene_diagonal,0.06029904805464221,0.12887917459011078,0.1272590309381485,0.012502024881541729,15.308534622192383,2.2951488494873047,0.99935
rand_gmm_20,kugel,0.04427918651674083,0.12253179401159286,0.11307945102453232,0.027923893183469772,36.10353088378906,2.8534481525421143,0.4939
rand_gmm_20,wuerfel,0.04695173214859893,0.14857718348503113,0.13284555077552795,0.031016793102025986,38.28141403198242,4.0806403160095215,0.49895
rand_gmm_20,ei,0.03056697600361156,0.1043238639831543,0.10686948895454407,0.023414911702275276,33.73461151123047,2.769069194793701,0.57475
rand_gmm_20,bunny,0.038834954838171766,0.1070975512266159,0.11201491206884384,0.01939908228814602,42.40978240966797,2.3821189403533936,0.48245
rand_gmm_20,prisma,0.040882570010752226,0.12215971946716309,0.10815614461898804,0.03309812396764755,40.392486572265625,4.625067710876465,0.6232
rand_gmm_20,kegel,0.028394782739548482,0.11465322226285934,0.12125058472156525,0.023018665611743927,41.32305908203125,3.3366141319274902,0.68035
rand_gmm_20,torus,0.06778313873122514,0.1328846514225006,0.10754307359457016,0.01971263997256756,24.890932083129883,2.1586198806762695,0.505
rand_ana_poly_10,ebene_flach,0.07178223388980275,0.126564159989357,0.12532994151115417,0.01211483497172594,12.796422004699707,1.7823424339294434,0.32845
