phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
niveau,0.372,100,0,7,0.2673887637892608,0.1169320302020007,0.032330802381038665,0.1169320302020007,0.04386263646185398,0.12842958211898803,3554.835048828125,9.834698181152344,2.614183396815012
niveau,0.4307,50,0,6,0.26741990006320043,0.14005145273916283,0.03823795154690743,0.14005145273916283,0.0495743340998888,0.15997052535414696,3309.094384765625,8.4424755859375,1.842111831009388
mass,0.53,25,0,6,0.267455376362723,0.14029622866976701,0.03905972920358181,0.14029622866976701,0.041755423936992886,0.15662822417914868,3279.484140625,8.444005661010742,1.7897869232390076
niveau,0.6067,100,1,6,0.26776020791287186,0.13882888731971962,0.038413190767169,0.13882888731971962,0.04309510674327612,0.14227300018072128,3453.6840625,8.424987106323242,2.2328301482880493
niveau,0.7827,25,0,6,0.26782579452207067,0.1409016592277376,0.03868388347327709,0.1409016592277376,0.06910950697958469,0.13751384407281875,3545.10044921875,8.425135612487793,1.7310338235832752
ucb,0.4597,0,0,6,0.267828691596307,0.14147191537273318,0.0388705350458622,0.14147191537273318,0.05992135480046272,0.16635576002299785,3293.79048828125,8.462896919250488,1.5891940558934585
niveau,0.4307,0,0,6,0.2678728008102375,0.14118564811935008,0.039146342501044276,0.14118564811935008,0.06077066410332918,0.1556983221322298,3471.617451171875,8.457682456970215,1.6717881727218624
mass,0.59,25,0,7,0.2681172589035051,0.11980274299024585,0.033150094226002694,0.11980274299024585,0.047947511225938794,0.12735602036118507,3503.381064453125,9.847160034179687,2.0786289783148097
ucb,0.4597,25,0,6,0.2681775677693224,0.1410502067615798,0.03909672975540161,0.1410502067615798,0.05684635266661644,0.16568267449736596,3190.764765625,8.443536529541015,1.781840251935646
niveau,0.6653,25,1,6,0.2683966558666635,0.14130215007157212,0.03916630432009697,0.14130215007157212,0.05776008937507868,0.1508661302924156,3409.75638671875,8.44247631072998,1.7736264487728475
niveau,0.548,25,1,6,0.2684333020183685,0.1413758360702413,0.039010577723383906,0.1413758360702413,0.05157308984547854,0.1481531083583832,3410.97775390625,8.43848575592041,1.7643664870318025
niveau,0.6653,0,1,6,0.268437456369889,0.14174071026996246,0.039358906149864196,0.14174071026996246,0.06233053430914879,0.1521475148200989,3520.186025390625,8.448098220825194,1.6741865249816328
niveau,0.7827,100,0,6,0.26846002727704726,0.1395530933433645,0.03848318055272102,0.1395530933433645,0.052948231734335424,0.1402736959606409,3486.449365234375,8.429338493347167,2.226733483420685
niveau,0.4307,25,1,6,0.2686276902097508,0.14156787720317468,0.039250389784574506,0.14156787720317468,0.06460193902254105,0.1624424559623003,3387.618603515625,8.43827838897705,1.764953251644038
mass,0.65,50,0,6,0.2686627168114637,0.14112751021494763,0.039322664588689805,0.14112751021494763,0.04703651662915945,0.14575160592794417,3340.516494140625,8.442977561950684,1.8838016491290182
mass,0.47,0,1,6,0.2686766839150222,0.14201436678674761,0.03989996306598186,0.14201436678674761,0.04638335198163986,0.15319024369120599,3250.650126953125,8.457634506225586,1.6655792820686475
niveau,0.4307,100,1,6,0.26874640939489364,0.13978309391849097,0.03851634204387665,0.13978309391849097,0.05490926470607519,0.14806418105959893,3419.66244140625,8.427580299377441,2.2408288691006604
niveau,0.7827,50,0,6,0.26894716858810874,0.14160090152434202,0.039128758460283276,0.14160090152434202,0.05381715886294842,0.13508017629384994,3491.513828125,8.432884674072266,1.8365667659416796
niveau,0.6653,200,0,6,0.26897635746527543,0.13687631928730837,0.03769886039197445,0.13687631928730837,0.05032006379216909,0.14257084906101228,3459.527890625,8.42685962677002,3.025009544491768
niveau,0.6067,100,0,6,0.26901847181321925,0.14007744325537108,0.03876281268894673,0.14007744325537108,0.046032191552221775,0.14227374762296677,3406.968720703125,8.434135704040527,2.235257139462046
niveau,0.8413,25,1,6,0.2691506381973242,0.14203671376272944,0.03905961930751801,0.14203671376272944,0.0578060345351696,0.13028042308986187,3556.61748046875,8.43273551940918,1.7784811086487025
