phi_model,param,svgd_iters,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s
eid,0.15,0,0,rand_ana_poly_complex_10,3,0.11322209239006042,0.39770018490097175,0.09165706485509872,0.38541117310523987,1813.3974609375,4.212029933929443,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_20,3,0.13710448145866394,0.6019477067380871,0.21294152736663818,0.2879139482975006,1907.265625,4.214383125305176,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_30,3,0.1190991997718811,0.533002690683917,0.13516142964363098,0.4133099913597107,1883.66943359375,4.178740978240967,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_0,3,0.14991039037704468,0.47013414758383876,0.14002974331378937,0.39849182963371277,1754.21337890625,4.1989874839782715,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_10,3,0.09657945483922958,0.3446445682356457,0.06174953281879425,0.424162358045578,1759.01123046875,4.189693450927734,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_20,3,0.1299736648797989,0.5150536412779616,0.17446772754192352,0.2855972945690155,1369.03759765625,4.22433614730835,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_30,3,0.03809079900383949,0.22552482071465343,0.05526094138622284,0.1470940113067627,1836.13330078125,4.213114261627197,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_0,3,0.09114876389503479,0.29711571565908124,0.06499914079904556,0.21808966994285583,1779.62744140625,4.204305171966553,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_10,3,0.15792925655841827,0.5011016389077302,0.21754948794841766,0.22866502404212952,1469.67822265625,4.209259033203125,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_20,3,0.09358730912208557,0.3145975484932118,0.05855845659971237,0.20259054005146027,1885.595703125,4.225555419921875,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,A,4,0.059863295406103134,0.2401053231576471,0.14641380310058594,0.22549597918987274,2128.10009765625,5.637367248535156,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,greek_upper_0,4,0.047848161309957504,0.1919138957501377,0.061643652617931366,0.17917528748512268,2227.55615234375,5.640003204345703,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,korean_5,4,0.13765810430049896,0.4504288252479824,0.13013549149036407,0.24757985770702362,2247.584228515625,5.625733852386475,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,digit_5,4,0.06192372366786003,0.2269694682554776,0.04071955755352974,0.18627560138702393,2167.956298828125,5.625456809997559,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,a_lc,4,0.05724132061004639,0.26655048190931024,0.09690403193235397,0.22687213122844696,2487.484375,5.637535095214844,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_10,4,0.1090681180357933,0.3243458190959539,0.11617778241634369,0.1794387549161911,2393.20703125,5.640287399291992,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_20,4,0.09185463190078735,0.3009831734846766,0.3136456608772278,0.0996302142739296,1892.58935546875,5.6393022537231445,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_10,4,0.026699746027588844,0.08431757543638527,0.03551298379898071,0.2811698019504547,1965.3955078125,5.615097999572754,256,3.31896382833831,0.0006930097751319408
