phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
mass,0.47,0,1,1,0.6774123094926897,0.18667216956615448,0.6774123094926897,0.22527129381895064,0.29410561561584475,1068.801865234375,1.4085367298126221,0.2775965470114412,0.6974123094926897
mass,0.47,0,1,2,0.4643742653703351,0.12773361980915068,0.4643742653703351,0.14642857521772384,0.26196771770715715,1772.104951171875,2.817958869934082,0.5551930940228824,0.5043742653703351
mass,0.47,0,1,3,0.32200448002893217,0.089592944085598,0.32200448002893217,0.09762755777686834,0.2276051437854767,2290.421005859375,4.227934951782227,0.8327896410343237,0.38200448002893217
mass,0.47,0,1,4,0.23781091890386225,0.06661683723330497,0.23781091890386225,0.0940222117304802,0.2009422731399536,2669.0469921875,5.637569465637207,1.1103861880457648,0.31781091890386226
mass,0.47,0,1,5,0.18294336270376327,0.05143553644418716,0.18294336270376327,0.08263454854488372,0.16980831518769265,2960.227666015625,7.048070316314697,1.3879827350572063,0.2829433627037633
mass,0.47,0,1,6,0.14201436678674761,0.03989996306598186,0.14201436678674761,0.04638335198163986,0.15319024369120599,3250.650126953125,8.457634506225586,1.6655792820686475,0.2620143667867476
mass,0.47,0,1,7,0.12388652615603375,0.034678968414664266,0.12388652615603375,0.05846979681402445,0.13481600865721702,3410.3430078125,9.86791561126709,1.943175829080089,0.26388652615603375
mass,0.47,0,1,8,0.11153718886855547,0.0311360040307045,0.11153718886855547,0.046741531938314436,0.1252254495024681,3536.0564453125,11.278025970458984,2.2207723760915297,0.2715371888685555
mass,0.47,0,1,9,0.1016532712520986,0.028245824947953226,0.1016532712520986,0.06237542886286974,0.10947283141314984,3647.650244140625,12.686776390075684,2.498368923102971,0.2816532712520986
mass,0.47,0,1,10,0.09579047089779749,0.026660826951265336,0.09579047089779749,0.044317246042191984,0.10016700960695743,3721.555244140625,14.096856422424317,2.7759654701144125,0.29579047089779753
mass,0.47,0,1,11,0.0861999153004801,0.023963910713791847,0.0861999153004801,0.03991865590214729,0.09070822864770889,3775.917900390625,15.50622413635254,3.0535620171258535,0.3061999153004801
mass,0.47,0,1,12,0.07986302804150319,0.022211359217762947,0.07986302804150319,0.04023267244920135,0.08447754740715027,3815.133037109375,16.916934967041016,3.331158564137295,0.3198630280415032
niveau,0.6067,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19877572625875473,0.28075790882110596,1097.49146484375,1.4098540258407593,0.27878588996905207,0.647575694660018
niveau,0.6067,0,0,2,0.4161349177308577,0.11766519203782082,0.4161349177308577,0.15865455225110053,0.2610158085823059,1833.58779296875,2.8205763339996337,0.5575717799381041,0.4561349177308577
niveau,0.6067,0,0,3,0.27424095384408437,0.0764350038766861,0.27424095384408437,0.09031090661883354,0.23302470833063127,2422.617431640625,4.230827560424805,0.8363576699071562,0.33424095384408437
niveau,0.6067,0,0,4,0.20414116569831856,0.05621155217289925,0.20414116569831856,0.05704583916813135,0.19960580691695212,2959.370234375,5.640328483581543,1.1151435598762083,0.28414116569831854
niveau,0.6067,0,0,5,0.16768291081853717,0.04615756973624229,0.16768291081853717,0.05026594080030918,0.1679898938536644,3297.9091015625,7.048564815521241,1.3939294498452603,0.2676829108185372
niveau,0.6067,0,0,6,0.14299064923071345,0.03924776680767536,0.14299064923071345,0.05608593925833702,0.14776706248521804,3537.542841796875,8.45398094177246,1.6727153398143124,0.26299064923071347
niveau,0.6067,0,0,7,0.12281353990590609,0.03363901771605015,0.12281353990590609,0.05225223578512669,0.12044716872274876,3659.148095703125,9.858903045654296,1.9515012297833647,0.2628135399059061
niveau,0.6067,0,0,8,0.10866950057055559,0.02986732490360737,0.10866950057055559,0.040041271969676016,0.09919527396559716,3753.547470703125,11.263824958801269,2.2302871197524166,0.2686695005705556
niveau,0.6067,0,0,9,0.09599084897441164,0.02641179271042347,0.09599084897441164,0.05434321843087673,0.08896623060107231,3804.31583984375,12.66278232574463,2.509073009721469,0.2759908489744116
niveau,0.6067,0,0,10,0.08642010947372572,0.023940255008637903,0.08642010947372572,0.04055001761764288,0.08248592801392078,3843.00693359375,14.061933822631836,2.7878588996905207,0.28642010947372576
niveau,0.6067,0,0,11,0.0796577969377395,0.022086051106452943,0.0796577969377395,0.044692772403359414,0.07745718128979207,3867.066728515625,15.461171112060548,3.0666447896595725,0.29965779693773953
niveau,0.6067,0,0,12,0.07457323938670704,0.02065896738320589,0.07457323938670704,0.04680983988568187,0.07434618361294269,3883.53474609375,16.86006217956543,3.345430679628625,0.314573239386707
niveau,0.7827,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19877572625875473,0.28075790882110596,1097.49146484375,1.4098540258407593,0.28022453597125907,0.647575694660018
niveau,0.7827,0,0,2,0.40002712703880194,0.11372330456972123,0.40002712703880194,0.1336705707013607,0.25446186840534213,1831.758369140625,2.8198473167419436,0.5604490719425181,0.4400271270388019
niveau,0.7827,0,0,3,0.2813570516442242,0.07846007734537125,0.2813570516442242,0.09640888698399067,0.21988380581140518,2482.860107421875,4.229793586730957,0.8406736079137772,0.3413570516442242
niveau,0.7827,0,0,4,0.2191871472861678,0.06070446729660034,0.2191871472861678,0.07367156371474266,0.18548647418618203,2934.24107421875,5.6397075271606445,1.1208981438850363,0.2991871472861678
niveau,0.7827,0,0,5,0.17391298557628157,0.0479570484906435,0.17391298557628157,0.06516557563096285,0.16702018931508064,3295.88443359375,7.047322311401367,1.4011226798562955,0.2739129855762816
niveau,0.7827,0,0,6,0.14285278059603324,0.03955156795680523,0.14285278059603324,0.06697805020958185,0.14030233450233937,3555.072802734375,8.451441802978515,1.6813472158275544,0.26285278059603323
niveau,0.7827,0,0,7,0.1265572070212986,0.034844546467065814,0.1265572070212986,0.05236645217984915,0.12050961457192898,3693.891884765625,9.851694679260254,1.9615717517988136,0.2665572070212986
niveau,0.7827,0,0,8,0.11141769605007497,0.030757098868489267,0.11141769605007497,0.05429184027016163,0.10856209903955459,3762.7435546875,11.254234504699706,2.2417962877700726,0.271417696050075
niveau,0.7827,0,0,9,0.10130481695573365,0.02785034291446209,0.10130481695573365,0.05136418901383877,0.09376990757882595,3824.1425,12.653262557983398,2.5220208237413315,0.2813048169557336
niveau,0.7827,0,0,10,0.09191182553882692,0.025301317498087884,0.09191182553882692,0.058478814214468,0.08644062213599682,3859.731083984375,14.048180236816407,2.802245359712591,0.29191182553882694
niveau,0.7827,0,0,11,0.08500232433068808,0.023441178128123283,0.08500232433068808,0.05216696169227362,0.07519801154732704,3886.361142578125,15.450002632141114,3.0824698956838494,0.3050023243306881
niveau,0.7827,0,0,12,0.07872416337547442,0.021766413748264313,0.07872416337547442,0.05164660448208451,0.07189318507909775,3901.99013671875,16.850798950195312,3.362694431655109,0.3187241633754744
niveau,0.548,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19877572625875473,0.28075790882110596,1097.49146484375,1.4098540258407593,0.27800502781445774,0.647575694660018
niveau,0.548,0,0,2,0.40963395727298385,0.11574860394001008,0.40963395727298385,0.12428261712193489,0.2527878111600876,1819.580341796875,2.82012825012207,0.5560100556289155,0.44963395727298383
niveau,0.548,0,0,3,0.27246001799598574,0.07646978497505189,0.27246001799598574,0.11967096015810967,0.22110156059265137,2373.697431640625,4.230903606414795,0.8340150834433733,0.33246001799598573
niveau,0.548,0,0,4,0.21175979403748446,0.05831730201840401,0.21175979403748446,0.07283478941768408,0.19009456589818,2851.0010546875,5.6402964019775395,1.112020111257831,0.2917597940374845
niveau,0.548,0,0,5,0.168573681396059,0.04669368714094162,0.168573681396059,0.055856361612677576,0.18080956302583218,3199.71763671875,7.049284267425537,1.3900251390722889,0.26857368139605897
niveau,0.548,0,0,6,0.14301562915606364,0.039600816518068314,0.14301562915606364,0.059545040540397165,0.1610884864628315,3440.580146484375,8.456708869934083,1.6680301668867465,0.26301562915606364
niveau,0.548,0,0,7,0.12322397068756122,0.03395360976457596,0.12322397068756122,0.059855856150388714,0.12642667688429354,3650.74130859375,9.862396736145019,1.9460351947012045,0.2632239706875612
niveau,0.548,0,0,8,0.10501596486657165,0.028934473618865014,0.10501596486657165,0.04930868258699775,0.10969954930245876,3739.414150390625,11.265641441345215,2.224040222515662,0.26501596486657164
niveau,0.548,0,0,9,0.09437099630265687,0.025926316678524016,0.09437099630265687,0.06957779955118895,0.10378870904445649,3783.50005859375,12.669943771362306,2.50204525033012,0.2743709963026569
niveau,0.548,0,0,10,0.0852066645200953,0.023458713889122008,0.0852066645200953,0.05220353731885553,0.08892139360308647,3827.4622265625,14.07111099243164,2.7800502781445777,0.2852066645200953
niveau,0.548,0,0,11,0.07919314422059821,0.021861592195928096,0.07919314422059821,0.05215124176815152,0.08173770256340504,3853.189970703125,15.475952033996583,3.0580553059590354,0.29919314422059823
niveau,0.548,0,0,12,0.07361502657370321,0.020348105877637863,0.07361502657370321,0.03544032407924533,0.07826346717774868,3872.050927734375,16.879426879882814,3.336060333773493,0.3136150265737032
niveau,0.4893,0,1,1,0.6774123094926897,0.18667216956615448,0.6774123094926897,0.22527129381895064,0.29410561561584475,1068.801865234375,1.4085367298126221,0.2812142470929151,0.6974123094926897
niveau,0.4893,0,1,2,0.4718290844885542,0.1313006868958473,0.4718290844885542,0.16920920491218566,0.2759589093923569,1824.78109375,2.8202321624755857,0.5624284941858302,0.5118290844885542
niveau,0.4893,0,1,3,0.3187601761701724,0.087724249958992,0.3187601761701724,0.10683983899652957,0.24564217358827592,2445.273642578125,4.2313422584533695,0.8436427412787453,0.3787601761701724
niveau,0.4893,0,1,4,0.2271562514838545,0.062445866018533705,0.2271562514838545,0.08224612183868885,0.20622686833143233,2962.054541015625,5.641411724090577,1.1248569883716604,0.3071562514838545
niveau,0.4893,0,1,5,0.18170314366882592,0.04985579192638397,0.18170314366882592,0.07038327522575855,0.17555455543100834,3325.251572265625,7.0494322586059575,1.4060712354645755,0.28170314366882593
niveau,0.4893,0,1,6,0.14757956916196968,0.040621117874979976,0.14757956916196968,0.05544554434716702,0.15473285295069217,3539.445498046875,8.455636596679687,1.6872854825574906,0.2675795691619697
niveau,0.4893,0,1,7,0.1240081831580646,0.03426482617855072,0.1240081831580646,0.07171809554100037,0.1363317807763815,3652.365068359375,9.86166675567627,1.9684997296504059,0.2640081831580646
niveau,0.4893,0,1,8,0.10911014865591223,0.03023200735449791,0.10911014865591223,0.07490471288561822,0.11336563900113106,3719.87619140625,11.267215270996093,2.2497139767433207,0.2691101486559122
niveau,0.4893,0,1,9,0.09856761352041384,0.027339756861329077,0.09856761352041384,0.045508115254342556,0.09926458209753036,3781.1716796875,12.673342170715332,2.530928223836236,0.2785676135204138
niveau,0.4893,0,1,10,0.08978739363568279,0.02486503303050995,0.08978739363568279,0.0563088833540678,0.08942365802824498,3816.60931640625,14.079137725830078,2.812142470929151,0.2897873936356828
niveau,0.4893,0,1,11,0.08099111643478041,0.022455686442553996,0.08099111643478041,0.05957122400403023,0.08029703475534916,3838.010283203125,15.48385311126709,3.093356718022066,0.3009911164347804
