regler,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s,gewaehlt_modell,gewaehlt_param,gewaehlt_svgd
fest,0,rand_ana_poly_complex_10,4,0.05357766151428223,0.1881951255359621,0.04443296045064926,0.23945660889148712,3257.491943359375,5.616974830627441,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_20,4,0.0682879164814949,0.2998133561108357,0.07360736280679703,0.2722749710083008,2790.48876953125,5.627632141113281,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_30,4,0.04804335534572601,0.2150076383200124,0.06917333602905273,0.26433736085891724,3060.6328125,5.630777359008789,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_0,4,0.12448956817388535,0.3904118778512086,0.16491736471652985,0.44426992535591125,2176.885498046875,5.627526760101318,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_10,4,0.061852868646383286,0.22072248711013345,0.056393325328826904,0.24237574636936188,2940.888671875,5.59735107421875,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_20,4,0.04604477062821388,0.18246409221285315,0.04546111822128296,0.11181332170963287,3039.274169921875,5.617743492126465,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_30,4,0.030023902654647827,0.17776301470234684,0.050082795321941376,0.20184001326560974,2463.65625,5.617228984832764,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_0,4,0.06990200281143188,0.22785809377775948,0.08765141665935516,0.20142973959445953,2775.029541015625,5.628002643585205,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_10,4,0.08796048164367676,0.27909421263219547,0.045663610100746155,0.20623819530010223,2841.613525390625,5.636342525482178,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_20,4,0.0917477235198021,0.30841370662244244,0.04893999174237251,0.18889565765857697,2292.028564453125,5.630090713500977,256,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,A,5,0.05674220621585846,0.2275869929354231,0.05570308864116669,0.18287380039691925,3374.398193359375,7.0403265953063965,320,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,greek_upper_0,5,0.039634689688682556,0.15897055197079832,0.04337240383028984,0.1273583620786667,3228.661376953125,7.0421223640441895,320,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,korean_5,5,0.043778449296951294,0.14324674590141553,0.03241075575351715,0.18257135152816772,2979.94287109375,7.02607536315918,320,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,digit_5,5,0.03475420922040939,0.12738485218856568,0.034179359674453735,0.17971043288707733,2715.76904296875,7.051275253295898,320,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,a_lc,5,0.030406363308429718,0.14159056266687595,0.029673051089048386,0.12733124196529388,3336.570556640625,7.028286933898926,320,1.7756844547390938,5.860061540678143,niveau,0.6067,25
