phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
niveau,0.724,25,0,1,0.5750723613486043,0.16161150515079498,0.5750723613486043,0.14359838902950287,0.28300118803977964,1141.93236328125,1.4095683622360229,0.2880461789853871,0.5962245460645459
niveau,0.724,25,0,2,0.37045183024856615,0.10517795503139496,0.37045183024856615,0.11376427993178367,0.25291081845760344,1880.470244140625,2.8175935173034667,0.5760923579707742,0.41275619968044924
niveau,0.724,25,0,3,0.24247709767003225,0.06735198423266411,0.24247709767003225,0.0704662761464715,0.19877244845032693,2552.755419921875,4.22386682510376,0.8641385369561613,0.3059336518178569
niveau,0.724,25,0,4,0.18828670307301823,0.05203328348696232,0.18828670307301823,0.05994829468429089,0.17261874720454215,2940.9828125,5.630277481079101,1.1521847159415484,0.2728954419367844
niveau,0.724,25,0,5,0.15634863427448228,0.04306603044271469,0.15634863427448228,0.05622708782553673,0.146634951159358,3269.686962890625,7.033182277679443,1.4402308949269356,0.26210955785419005
niveau,0.724,25,0,6,0.13874012842133035,0.03827030189335346,0.13874012842133035,0.06798497129231691,0.13126910395920277,3472.518388671875,8.435623931884766,1.7282770739123225,0.2656532367169796
niveau,0.724,25,0,7,0.11992384607106445,0.03303721249103546,0.11992384607106445,0.05862978558987379,0.11407994292676449,3617.48779296875,9.835839691162109,2.0163232528977098,0.26798913908265526
niveau,0.724,25,0,8,0.1075805721439793,0.029706146344542505,0.1075805721439793,0.06084972929209471,0.10147529028356075,3707.53865234375,11.23622127532959,2.3043694318830967,0.2767980498715117
niveau,0.724,25,0,9,0.09671884694893373,0.026591565907001496,0.09671884694893373,0.040885079074651005,0.09057330474257469,3778.4273046875,12.635015602111816,2.5924156108684837,0.28708850939240765
niveau,0.724,25,0,10,0.08728445754071763,0.024075324907898904,0.08728445754071763,0.04860697690397501,0.08572312355041505,3811.657392578125,14.033542518615723,2.880461789853871,0.29880630470013314
niveau,0.724,25,0,11,0.08045648978678205,0.02225137684494257,0.08045648978678205,0.05106714749708772,0.08042887821793557,3841.019140625,15.432383880615234,3.1685079688392577,0.3131305216621391
niveau,0.724,25,0,12,0.07400172965830536,0.02054668977856636,0.07400172965830536,0.058559567183256146,0.07543525531888008,3861.992392578125,16.826890869140627,3.456554147824645,0.32782794624960393
niveau,0.548,25,0,1,0.5803001801722666,0.1629227429628372,0.5803001801722666,0.17273657485842706,0.2826699000597,1145.34560546875,1.4096948671340943,0.2842338644224219,0.6014371156299563
niveau,0.548,25,0,2,0.3765696803709301,0.10681851103901863,0.3765696803709301,0.13002438440918923,0.24811410784721374,1867.01099609375,2.8179347801208494,0.5684677288448438,0.41884355128630946
niveau,0.548,25,0,3,0.25005190413977824,0.06981064826250076,0.25005190413977824,0.07660095691680908,0.2070690657198429,2475.922041015625,4.225220642089844,0.8527015932672657,0.3134627105128473
niveau,0.548,25,0,4,0.19572649214920432,0.05454395979642868,0.19572649214920432,0.05067440629005432,0.18100562900304795,2881.21685546875,5.631311454772949,1.1369354576896875,0.28027423397996304
niveau,0.548,25,0,5,0.15988432401657987,0.04441908769309521,0.15988432401657987,0.0640879413858056,0.16030881360173224,3158.7758984375,7.040619144439697,1.4211693221121096,0.26556900130502836
niveau,0.548,25,0,6,0.13553348092361917,0.03745679900050163,0.13553348092361917,0.06319367449730634,0.13978060111403465,3410.225751953125,8.448710975646973,1.7054031865345314,0.2623550936697573
niveau,0.548,25,0,7,0.12001151022100286,0.033145766928792,0.12001151022100286,0.04810636412352323,0.1145934758335352,3566.529599609375,9.853945922851562,1.9896370509569534,0.2679700584248307
niveau,0.548,25,0,8,0.1025764914664604,0.028400246612727643,0.1025764914664604,0.04442582372575998,0.09590777732431889,3666.334853515625,11.25716480255127,2.273870915379375,0.2716719751279779
niveau,0.548,25,0,9,0.09292324863457153,0.02568841811269522,0.09292324863457153,0.04706053882837295,0.09218247279524804,3718.757021484375,12.65905632019043,2.558104779801797,0.2831556677537787
niveau,0.548,25,0,10,0.08504289151379715,0.0235136803984642,0.08504289151379715,0.04069620806723833,0.089225282818079,3753.75154296875,14.058377571105957,2.842338644224219,0.296412246090694
niveau,0.548,25,0,11,0.07854162361391683,0.021730364374816416,0.07854162361391683,0.04372802492231131,0.08473963364958763,3786.92392578125,15.456102142333984,3.1265725086466407,0.3110479136485034
niveau,0.548,25,0,12,0.07354679404137976,0.020376408509910106,0.07354679404137976,0.06641596604138612,0.08191207014024257,3820.39943359375,16.85287269592285,3.4108063730690628,0.327190019533656
niveau,0.4893,100,0,1,0.5592695196663438,0.15538096874952317,0.5592695196663438,0.1471144004166126,0.2668681782484055,1158.11701171875,1.4097387886047363,0.3729633440139393,0.5807613730423995
niveau,0.4893,100,0,2,0.36790683538696706,0.10276930958032608,0.36790683538696706,0.12692589119076728,0.24932776868343354,1857.625546875,2.8139837551116944,0.7459266880278786,0.41089054213907855
niveau,0.4893,100,0,3,0.2771543976407975,0.07820991992950439,0.2771543976407975,0.09118682987987996,0.22595123797655106,2380.091044921875,4.217323570251465,1.118890032041818,0.34162995776896476
niveau,0.4893,100,0,4,0.21044383706190004,0.058648642748594285,0.21044383706190004,0.06745557427406311,0.19788194209337234,2813.249716796875,5.6211573600769045,1.4918533760557573,0.29641125056612305
