phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
ucb,0.6082,0,1,7,0.28547781696629715,0.14547781696629716,0.04072603382170201,0.14547781696629716,0.0686900196224451,0.1417559291422367,3450.59767578125,9.869805526733398,1.9636915842963696
ucb,1.864,0,1,6,0.28551345057371424,0.16551345057371425,0.04559687361121178,0.16551345057371425,0.07010817136615514,0.1303745809942484,3543.321474609375,8.46077980041504,1.7087846201332286
ucb,5.7123,0,0,7,0.2855580164685183,0.14555801646851832,0.03939222104847431,0.14555801646851832,0.06580960817635059,0.125673743262887,3719.2957421875,9.871865959167481,1.9124909104492207
ucb,10.0,0,0,7,0.2869257448097807,0.1469257448097807,0.03938389763236046,0.1469257448097807,0.07741321139037609,0.11885425828397274,3747.000224609375,9.87128173828125,1.929086431198909
ucb,0.4597,0,1,6,0.2871706657161666,0.16717066571616662,0.04656343288719654,0.16717066571616662,0.061897435933351515,0.1637259030342102,3256.96951171875,8.459930191040039,1.6645696809608492
mass,0.05,0,1,7,0.28746839366350163,0.14746839366350162,0.04198546215891838,0.14746839366350162,0.05140522874891758,0.1826162753999233,2965.576943359375,9.845760078430176,1.8924034952636188
ucb,10.0,0,1,7,0.2887282690863207,0.1487282690863207,0.04066928431391716,0.1487282690863207,0.06652285754680634,0.12407452501356601,3719.37193359375,9.872353515625,2.022734208007654
eid,2.4662,0,0,8,0.28875543231401607,0.12875543231401607,0.03587391596287489,0.12875543231401607,0.06772755522280932,0.1522394444793463,3113.826494140625,11.262368087768555,2.254230110837767
mass,0.29,0,1,7,0.2889237574556659,0.14892375745566588,0.04230477057397366,0.14892375745566588,0.056574656888842584,0.16282255671918391,3214.328466796875,9.858364562988282,1.946448277598247
ucb,7.558,0,1,7,0.2895142910974621,0.14951429109746203,0.04078795075416565,0.14951429109746203,0.07193631485104561,0.1214043915271759,3723.04798828125,9.870164566040039,2.0182366452723124
eid,2.4662,0,1,8,0.29010109483078145,0.13010109483078144,0.03686800718307495,0.13010109483078144,0.09224390838295221,0.16158414706587793,3153.8810546875,11.26270408630371,2.201942803909381
eid,0.3474,0,0,7,0.2904683609385893,0.1504683609385893,0.043142306804656985,0.1504683609385893,0.07543970681726933,0.19612695574760436,2790.558671875,9.849378051757812,1.9574897960270758
mass,0.95,0,0,7,0.290592869881528,0.15059286988152798,0.04084516823291778,0.15059286988152798,0.09019226878881455,0.11951279416680335,3716.672587890625,9.869301948547363,1.9151666853817493
