shape,n_prior,modell,treffer,korr,sigma_anteil,traeger
rand_gmm_10,30,mass,0.7515400052070618,0.8077822327613831,0.9296242594718933,0.630126953125
rand_gmm_10,30,mi,0.6496219635009766,0.18627865612506866,0.9296242594718933,0.630126953125
rand_gmm_10,30,stretch,0.6304924488067627,0.04210056737065315,0.9296242594718933,0.630126953125
rand_gmm_10,30,ucb,0.6304669976234436,0.04210057109594345,0.9296242594718933,0.630126953125
rand_gmm_10,60,ei,0.6823622584342957,0.2924440801143646,0.8823657035827637,0.630126953125
rand_gmm_10,60,eid,0.708037257194519,0.3627450168132782,0.8823657035827637,0.630126953125
rand_gmm_10,60,lse,0.7429725527763367,0.7839879989624023,0.8823657035827637,0.630126953125
rand_gmm_10,60,mass,0.7479404807090759,0.8573836088180542,0.8823657035827637,0.630126953125
rand_gmm_10,60,mi,0.671757698059082,0.31283771991729736,0.8823657035827637,0.630126953125
rand_gmm_10,60,stretch,0.6309853196144104,0.08738404512405396,0.8823657035827637,0.630126953125
rand_gmm_10,60,ucb,0.6308760643005371,0.08738404512405396,0.8823657035827637,0.630126953125
rand_gmm_20,12,ei,0.5587937831878662,0.41535964608192444,0.9495975971221924,0.519287109375
rand_gmm_20,12,eid,0.8154770135879517,0.609687864780426,0.9495975971221924,0.519287109375
rand_gmm_20,12,lse,0.5825371146202087,0.8289368152618408,0.9495975971221924,0.519287109375
rand_gmm_20,12,mass,0.702242374420166,0.9254893660545349,0.9495975971221924,0.519287109375
rand_gmm_20,12,mi,0.5231728553771973,0.09139354526996613,0.9495975971221924,0.519287109375
rand_gmm_20,12,stretch,0.5070342421531677,-0.1615949422121048,0.9495975971221924,0.519287109375
rand_gmm_20,12,ucb,0.5087294578552246,-0.16159497201442719,0.9495975971221924,0.519287109375
rand_gmm_20,30,ei,0.5752149820327759,0.24045182764530182,0.9237294793128967,0.519287109375
rand_gmm_20,30,eid,0.6859955787658691,0.5189241766929626,0.9237294793128967,0.519287109375
rand_gmm_20,30,lse,0.620119571685791,0.8505759835243225,0.9237294793128967,0.519287109375
rand_gmm_20,30,mass,0.6857672333717346,0.9332845211029053,0.9237294793128967,0.519287109375
rand_gmm_20,30,mi,0.5453153848648071,0.11773701012134552,0.9237294793128967,0.519287109375
rand_gmm_20,30,stretch,0.5143572688102722,-0.13440123200416565,0.9237294793128967,0.519287109375
rand_gmm_20,30,ucb,0.5148550868034363,-0.13440127670764923,0.9237294793128967,0.519287109375
rand_gmm_20,60,ei,0.5592940449714661,0.006469289306551218,0.8852124214172363,0.519287109375
rand_gmm_20,60,eid,0.6124950647354126,0.40389901399612427,0.8852124214172363,0.519287109375
rand_gmm_20,60,lse,0.6586093306541443,0.8738290071487427,0.8852124214172363,0.519287109375
rand_gmm_20,60,mass,0.666158139705658,0.8926409482955933,0.8852124214172363,0.519287109375
rand_gmm_20,60,mi,0.5738367438316345,0.22232702374458313,0.8852124214172363,0.519287109375
rand_gmm_20,60,stretch,0.5163516998291016,-0.12369389832019806,0.8852124214172363,0.519287109375
rand_gmm_20,60,ucb,0.516633152961731,-0.12369392067193985,0.8852124214172363,0.519287109375
rand_ana_poly_10,12,ei,0.20363444089889526,0.12829716503620148,0.9772725701332092,0.18408203125
rand_ana_poly_10,12,eid,0.3448351323604584,0.2591935396194458,0.9772725701332092,0.18408203125
rand_ana_poly_10,12,lse,0.2185794711112976,0.3806034326553345,0.9772725701332092,0.18408203125
rand_ana_poly_10,12,mass,0.3629797399044037,0.42222797870635986,0.9772725701332092,0.18408203125
rand_ana_poly_10,12,mi,0.19057276844978333,0.06508523970842361,0.9772725701332092,0.18408203125
rand_ana_poly_10,12,stretch,0.18224872648715973,-0.01008436270058155,0.9772725701332092,0.18408203125
rand_ana_poly_10,12,ucb,0.18235532939434052,-0.010084347799420357,0.9772725701332092,0.18408203125
rand_ana_poly_10,30,ei,0.2539029121398926,0.22880814969539642,0.9482595920562744,0.18408203125
rand_ana_poly_10,30,eid,0.36761265993118286,0.45559874176979065,0.9482595920562744,0.18408203125
rand_ana_poly_10,30,lse,0.27952006459236145,0.6030717492103577,0.9482595920562744,0.18408203125
rand_ana_poly_10,30,mass,0.4022754430770874,0.6688395738601685,0.9482595920562744,0.18408203125
rand_ana_poly_10,30,mi,0.21836179494857788,0.18573278188705444,0.9482595920562744,0.18408203125
rand_ana_poly_10,30,stretch,0.18628273904323578,0.015468602068722248,0.9482595920562744,0.18408203125
rand_ana_poly_10,30,ucb,0.18616017699241638,0.015468605794012547,0.9482595920562744,0.18408203125
rand_ana_poly_10,60,ei,0.28900837898254395,0.17295916378498077,0.916068971157074,0.18408203125
rand_ana_poly_10,60,eid,0.3791801631450653,0.5250256061553955,0.916068971157074,0.18408203125
rand_ana_poly_10,60,lse,0.35539519786834717,0.6759677529335022,0.916068971157074,0.18408203125
rand_ana_poly_10,60,mass,0.4245271682739258,0.6880331039428711,0.916068971157074,0.18408203125
rand_ana_poly_10,60,mi,0.2667075991630554,0.2932119369506836,0.916068971157074,0.18408203125
rand_ana_poly_10,60,stretch,0.19747298955917358,0.05796875059604645,0.916068971157074,0.18408203125
rand_ana_poly_10,60,ucb,0.19653505086898804,0.05796874314546585,0.916068971157074,0.18408203125
rand_ana_poly_20,12,ei,0.23761054873466492,0.2354424148797989,0.9915208220481873,0.20458984375
rand_ana_poly_20,12,eid,0.20446714758872986,0.0019284702138975263,0.9915208220481873,0.20458984375
rand_ana_poly_20,12,lse,0.22218826413154602,0.24288761615753174,0.9915208220481873,0.20458984375
rand_ana_poly_20,12,mass,0.3454150855541229,0.2282637357711792,0.9915208220481873,0.20458984375
rand_ana_poly_20,12,mi,0.23018579185009003,0.20597527921199799,0.9915208220481873,0.20458984375
rand_ana_poly_20,12,stretch,0.2212495058774948,0.17903976142406464,0.9915208220481873,0.20458984375
rand_ana_poly_20,12,ucb,0.22022785246372223,0.17903976142406464,0.9915208220481873,0.20458984375
rand_ana_poly_20,30,ei,0.35154545307159424,0.3927190601825714,0.9437001943588257,0.20458984375
rand_ana_poly_20,30,eid,0.34522342681884766,0.34816181659698486,0.9437001943588257,0.20458984375
rand_ana_poly_20,30,lse,0.3006003499031067,0.5640110373497009,0.9437001943588257,0.20458984375
rand_ana_poly_20,30,mass,0.4194762110710144,0.58110511302948,0.9437001943588257,0.20458984375
rand_ana_poly_20,30,mi,0.27688631415367126,0.36949095129966736,0.9437001943588257,0.20458984375
rand_ana_poly_20,30,stretch,0.23405353724956512,0.20920075476169586,0.9437001943588257,0.20458984375
rand_ana_poly_20,30,ucb,0.23228338360786438,0.20920078456401825,0.9437001943588257,0.20458984375
rand_ana_poly_20,60,ei,0.48134317994117737,0.30285438895225525,0.9087957143783569,0.20458984375
rand_ana_poly_20,60,eid,0.4108629524707794,0.5556433200836182,0.9087957143783569,0.20458984375
rand_ana_poly_20,60,lse,0.3782276213169098,0.6615272164344788,0.9087957143783569,0.20458984375
rand_ana_poly_20,60,mass,0.4494512379169464,0.6848444938659668,0.9087957143783569,0.20458984375
rand_ana_poly_20,60,mi,0.3363952338695526,0.4467332363128662,0.9087957143783569,0.20458984375
rand_ana_poly_20,60,stretch,0.24785089492797852,0.211795836687088,0.9087957143783569,0.20458984375
rand_ana_poly_20,60,ucb,0.24478784203529358,0.21179582178592682,0.9087957143783569,0.20458984375
rand_ana_poly_30,12,ei,0.20567665994167328,-0.04238589107990265,0.9684430360794067,0.212158203125
rand_ana_poly_30,12,eid,0.3556758165359497,0.23486855626106262,0.9684430360794067,0.212158203125
rand_ana_poly_30,12,lse,0.2444685399532318,0.32390159368515015,0.9684430360794067,0.212158203125
rand_ana_poly_30,12,mass,0.3266340494155884,0.3188793957233429,0.9684430360794067,0.212158203125
