variant,shape,path_len,coverage,info_gain,belief_rmse
D,greek_upper_0,2.521249532699585,0.08943728357553482,181.49124145507812,0.2894323170185089
D,greek_upper_0,2.983954906463623,0.07622929662466049,208.4681396484375,0.22356346249580383
D,greek_upper_0,3.438692808151245,0.06795578449964523,201.46517944335938,0.26854297518730164
D,greek_upper_0,3.837541103363037,0.06580884009599686,200.20040893554688,0.19688495993614197
D,greek_upper_0,4.254269599914551,0.06157372519373894,201.08804321289062,0.307841032743454
D,korean_5,0.3439231514930725,0.5242084264755249,30.272430419921875,0.2780018746852875
D,korean_5,0.8097943067550659,0.2820950150489807,65.45150756835938,0.296449214220047
D,korean_5,1.2248820066452026,0.17686137557029724,107.47097778320312,0.4887050688266754
D,korean_5,1.631653070449829,0.14621518552303314,137.31747436523438,0.3576362431049347
D,korean_5,2.040923833847046,0.11788584291934967,154.53842163085938,0.27694690227508545
D,korean_5,2.238466501235962,0.10789182782173157,163.6143798828125,0.3488161265850067
D,korean_5,2.8502938747406006,0.10107201337814331,181.48980712890625,0.2505608797073364
D,korean_5,3.2638819217681885,0.09511725604534149,194.7445068359375,0.3528316915035248
D,korean_5,3.6451399326324463,0.091193288564682,173.31536865234375,0.3386326730251312
D,korean_5,4.0457072257995605,0.08908902108669281,195.42831420898438,0.3387216329574585
D,digit_5,0.3046523332595825,0.2981940507888794,40.419097900390625,0.17593695223331451
D,digit_5,0.677970290184021,0.22870540618896484,82.11724853515625,0.19618375599384308
D,digit_5,1.0153732299804688,0.15456752479076385,122.88125610351562,0.24241581559181213
D,digit_5,1.3643308877944946,0.12074591964483261,126.47802734375,0.2193765938282013
D,digit_5,1.5258573293685913,0.11142978817224503,129.71771240234375,0.34245893359184265
D,digit_5,1.9421422481536865,0.09930169582366943,140.11236572265625,0.23877568542957306
D,digit_5,2.3708300590515137,0.0895519033074379,167.99261474609375,0.2599453926086426
D,digit_5,2.706665277481079,0.08784476667642593,179.77557373046875,0.3255840539932251
D,digit_5,3.0639684200286865,0.07610352337360382,181.94119262695312,0.19151122868061066
D,digit_5,3.406924247741699,0.06350571662187576,220.62939453125,0.3356291651725769
D,a_lc,0.3665870428085327,0.447064608335495,39.082550048828125,0.2420223355293274
D,a_lc,0.8252875208854675,0.1931462585926056,90.46627807617188,0.374259352684021
D,a_lc,1.2201899290084839,0.1538439393043518,139.22030639648438,0.30395177006721497
D,a_lc,1.6234318017959595,0.1461409032344818,136.70147705078125,0.4447188675403595
D,a_lc,2.0440919399261475,0.12398451566696167,142.41806030273438,0.46378058195114136
D,a_lc,2.1539723873138428,0.12381766736507416,146.582275390625,0.5330449342727661
D,a_lc,2.893364667892456,0.11826742440462112,165.9462890625,0.371701180934906
D,a_lc,3.288191318511963,0.10142815113067627,167.33236694335938,0.36987537145614624
D,a_lc,3.6972293853759766,0.07812520861625671,176.52548217773438,0.3535935580730438
D,a_lc,4.137963771820068,0.07146112620830536,195.76507568359375,0.3348348140716553
E,A,0.3925319314002991,0.23801320791244507,65.06524658203125,0.4652571380138397
E,A,0.7892338633537292,0.17702293395996094,77.77175903320312,0.5347248911857605
E,A,1.1976213455200195,0.12049215286970139,97.42153930664062,0.4797791838645935
E,A,1.5943562984466553,0.10976650565862656,103.359130859375,0.2790164053440094
E,A,1.8869978189468384,0.1096985936164856,100.561279296875,0.29703468084335327
E,A,2.390411853790283,0.10425082594156265,94.47555541992188,0.3021138906478882
